Timestamp,What is your age?,What is your current grade level?,What is your gender?,"About how many writing assignments (paragraphs, essays, or written projects) do you complete for school in a typical week?","At your school, using AI tools for writing assignments is:","Compared to other students in my grade, I think my writing skills are:","I use AI tools (such as ChatGPT, Grammarly, or Gemini) to brainstorm ideas for my school writing.","I use AI tools to help me draft or write full sentences and paragraphs for my assignments.
","I use AI tools to edit or proofread my writing (for example, to fix grammar or wording).
","I use AI tools when I am stuck and do not know how to continue my writing.
","Overall, I rely on AI tools when completing my writing assignments.
","My writing feels creative and original when I work on school assignments.
","Using AI tools helps me come up with new ideas for my writing.
","When I use AI tools, my writing feels more creative than when I do not use them.
","I feel confident in my own ability to generate creative ideas for writing, even without AI.
","I enjoy experimenting with different ways to express my ideas in writing.
","The work I submit for writing assignments feels like it is primarily my own.
","When I use AI tools, I still feel that the ideas in my writing belong to me.
","When I use AI tools, I sometimes feel less connected to the writing as “my” work.
","I worry that using AI tools might make my writing feel less genuine or authentic.
","I feel comfortable taking credit for assignments where I used AI tools.
","Optional:
Paste a short paragraph (4–8 sentences) from a recent school assignment where you used AI tools at some point in the writing process.
","Optional:
Paste a short paragraph (4–8 sentences) from a school assignment that you wrote without using any AI tools. Do not include any names of other people.","Optional:
Briefly describe how you used AI (if at all) in the AI-assisted paragraph above (for example: brainstorming, drafting, editing). Do not include any names of other people","I worry that I’m using AI on my assignments more than I should, and that I could get caught",How much have you been educated on AI use?,Column 25,Creativity Questions [Row 1]
12/5/2025 9:02:08,17,12th Grade,Female,2-3,,,2,1,5,3,2,5,3,2,5,4,5,4,3,5,4,"Political culture is a set of values or beliefs shared by a group of people that impact our behavior regarding politics. In most countries, this is pretty easy to pinpoint, for instance Japan values collectivism, conformity, and harmony. The US, however, is notoriously difficult to pinpoint a political culture; the reason is that countries like Japan tend not to have much immigration, but also we have freedom of opinion and heavily value individualism. When our political opinion is formed by family, school, religion, race, social class, and gender, having a very diverse free-speaking population in the US it can make sense why we would have a large amount of variety in political values as well.","The proposed law would affect fiscal policy through how much they would then have to spend on entitlement programs further cutting into discressionary spending. Entitlement spending is what the government is required by law to pay for instance medicare and social security. Whereas discressionary is what the government choses to spend money on like natioal defense and wellfare programs. Finally, the amount paid on the national debt interest rate each year is also apart of the budget. All three of these comprise fiscal policy given that fiscal policy is the spending of the the peoples taxes by the governement in a fiscal year which runs from October 1st to September 30th. This policy is decided every year by Congress and if they do not come up with a plan in time then the Governement shuts down. ","I only really used it for grammer,",,,,
12/8/2025 11:26:04,16,11th Grade,Male,2-3,Sometimes allowed depending on the assignment,Much better,2,2,1,1,3,5,4,3,4,4,5,5,5,5,3,,,,1,A lot,,
12/8/2025 11:26:36,16,11th Grade,Female,4-5,Mostly not tolerated,About the same,4,3,2,4,3,4,4,3,3,2,4,3,2,3,3,,,,2,Some,,
12/8/2025 11:27:27,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,4,1,3,3,2,4,4,5,1,1,5,5,4,4,5,"I have used AI tools during writing assignments in AP Lang. In this class we use ChatGPT and Class Companion to grade our essays and generate feedback. Even with the use of AI, our teacher still grades the assignments and gets the final say for your grade. I have also used AI to generate ideas for essays where we are given long periods of time to plan, but never when we are told not to. ",,,2,Some,,
12/8/2025 11:27:34,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,1,1,1,1,1,4,1,1,4,4,4,1,4,4,1,,"The last essay we wrote in AP Lang I didn't use any ideas for any part of the writing. I almost never use AI, and when I do it's mostly to just fact check certain things. I don't feel the need to use AI as I think it takes away from the practice that we (students) need in order to do better on future exams.",,1,Some,,
12/8/2025 11:27:45,16,11th Grade,Male,2-3,Sometimes allowed depending on the assignment,A little better,2,1,5,1,1,5,2,2,5,4,5,5,3,2,4,,,,1,Some,,
12/8/2025 11:27:50,17,11th Grade,Male,4-5,Sometimes allowed depending on the assignment,About the same,3,1,1,2,2,5,3,2,4,3,4,5,2,3,2,,,,1,A little,,
12/8/2025 11:27:54,16,11th Grade,Female,4-5,Sometimes allowed depending on the assignment,A little better,3,1,2,3,2,4,3,4,4,3,5,3,3,4,4,,,,2,Quite a bit,,
12/8/2025 11:28:33,17,11th Grade,Male,2-3,Sometimes allowed depending on the assignment,About the same,3,1,4,2,1,4,3,2,4,4,4,3,3,4,2,,,I like using AI i mainly use it to come up with practice test and to review on essays i right ,1,Quite a bit,,
12/8/2025 11:28:48,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,About the same,3,2,4,2,1,2,2,1,5,5,5,3,4,4,1,,,,2,Some,,
12/8/2025 11:28:57,17,11th Grade,Male,2-3,Sometimes allowed depending on the assignment,About the same,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,None at all,,
12/8/2025 11:28:57,16,11th Grade,Male,0-1,Sometimes allowed depending on the assignment,About the same,2,1,4,2,1,4,2,2,4,4,5,4,2,4,4,,,,1,Quite a bit,,
12/8/2025 11:29:27,16,11th Grade,Female,4-5,Mostly not tolerated,A little better,2,2,4,3,1,4,1,2,3,4,4,5,5,5,1,,,,3,Quite a bit,,
12/8/2025 11:29:35,16,11th Grade,Male,2-3,Mostly not tolerated,A little better,1,2,4,1,2,5,2,3,5,4,5,5,1,1,4,,,,1,A little,,
12/8/2025 11:29:36,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,3,2,3,1,1,3,1,2,4,4,5,2,1,1,1,,,,2,Quite a bit,,
12/8/2025 11:30:11,17,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,Much better,2,1,1,1,1,4,2,1,4,5,5,3,4,4,1,,,,1,Quite a bit,,
12/8/2025 11:30:17,16,11th Grade,Nonbinary,2-3,Sometimes allowed depending on the assignment,A little better,1,1,1,1,1,3,1,1,5,4,5,1,5,5,1,,"   Monolingual English speakers don't have the same capacity to overcome linguistic disconnect that multilingual English speakers do. It should be common sense to say that speaking languages beyond English makes a person better prepared to communicate with others, but there is a growing opinion that the benefits of being multilingual have become obsolete. A piece from the Daily Mail voices this opinion when its author describes ""go[ing] [...] to one of the [...] international junkets in which film studios hold to promote their latest blockbusters,"" and encountering ""a single extraordinary language that [...] Brazilian, Swedish, Japanese, and Italian reporters use both to chat with one another and question [...] American stars."" The unsaid implication, that English is the only language necessary for international success, grossly oversimplifies the prevalence of English on multiple levels. The film industry has a major hub in the English-speaking USA because of Hollywood, sure, but that's not an adequate reason to wave away the benefits of proficiency in other languages one might encounter in the field. The colonial-adjacent mindset that English is the only language of value due to its universality (a universality that is in and of itself the direct result of colonization) erases the diverse non-English markets in entertainment and beyond.",,1,A little,,
12/8/2025 11:30:45,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,About the same,3,1,4,2,1,5,2,2,4,2,5,5,1,1,4,,,,1,Quite a bit,,
12/8/2025 11:30:47,17,11th Grade,Female,4-5,Sometimes allowed depending on the assignment,About the same,3,1,2,2,1,4,2,1,5,4,5,1,5,5,2,,,The only time I've used AI to write is to get ideas for topics. ,1,Some,,
12/8/2025 11:30:50,17,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,5,3,4,4,3,3,4,4,2,1,5,5,1,1,4,,,,4,Quite a bit,,
12/8/2025 11:30:56,17,11th Grade,Male,2-3,Mostly not tolerated,Much better,2,1,2,1,1,5,2,1,5,5,5,5,4,5,3,,,,1,Some,,
12/8/2025 11:31:08,17,11th Grade,Male,2-3,Mostly not tolerated,Much better,2,1,2,1,1,5,2,1,5,5,5,5,5,5,1,,,,1,Some,,
12/8/2025 11:31:24,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little worse,4,3,4,3,3,4,4,3,4,3,5,3,3,3,3,,,,4,Quite a bit,,
12/8/2025 11:31:30,16,11th Grade,Male,4-5,Sometimes allowed depending on the assignment,A little better,3,1,3,2,1,5,2,3,5,3,5,1,5,5,1,"After the assassination of political leader and activist Charlie Kirk, many people, including Charlie's wife Erika and President Trump spoke at a memorial honoring. While Erika Kirk forgave the assassin, President Trump took a more radical position, saying that he ""hate[s] his [political] opponents,"" while referring to Charlie's murderer. Despite both grieving over the loss of a husband and close friend, they had wildly differing opinions of the appropriate reaction. Erika focused on the Christian, God-fearing side of Charlie, emphasizing forgiveness, while President Trump framed his reaction in the sense of a political disagreement. Their differing reactions were shaped by what each believed Charlie would have wanted in the same position. This contrast shows that society often divides itself along political and moral lines, acting from either personal ideology or a sense of shared humanity.","	The history of, and culture around the penny is priceless to the people of the United States. It acts as a fragment of history small enough to carry around in a pocket or in the palm of one’s hand. According to a press release, the penny acts as an “image emblematic of the President Lincoln’s preservation of the United States of America.” The penny’s feature of a picture of President Lincoln on one side, and symbols relating to his presidency on the other, give a penny value beyond just one cent. President Lincoln played a crucial role in the founding of America by uniting the fighting sides after the Civil War, and that story is told on every penny across the country. Along with history, current culture relating to the penny is evident, especially in Tennessee where the zinc used in the penny is primarily mined in the rich Tennessee mines. According to Lewis, two lawmakers of the state introduced a resolution ""commemorating the 20th anniversary of the zinc-based penny.” The lawmakers decision and public’s support in Tennessee of the penny illuminates the current cultural importance of the coin. Even with its near-zero financial value, the one-cent coin provides cultural value like no other. The backing of the penny’s history and culture fortifies its place in the US economy.
","I used AI for little of the brainstorming, and also some sentence structuring",1,Quite a bit,,
12/8/2025 11:31:34,16,11th Grade,Female,2-3,Completely not tolerated,About the same,1,1,2,1,1,5,1,1,5,4,5,1,3,3,1,,,,1,Some,,
12/8/2025 11:31:46,16,11th Grade,Female,4-5,Mostly not tolerated,A little better,1,1,2,1,1,4,1,2,5,5,5,1,5,4,1,,"	On the other hand, the health risks associated with daylight saving time outweigh any positives. Daylight saving time requires an overnight adjustment by almost every American and demands the average civilian to go through the lengthy process of resetting their sleep and waking schedules. In fact, studies have shown that “the body’s internal clock [...] does not adjust,” and that, even during daylight saving time, people “tended to sleep on standard time.” (O-Connor) DST forces people to sleep and wake at times unnaturally early for their bodies, disrupting the brain’s ability to recover overnight. Unrestful sleep can impact many aspects necessary for day-to-day living, such as focus, tolerance to fatigue, and perceptiveness. Another overlooked consequence of this sudden shift in hours is the increase in traffic risks. Pedestrian fatalities from crashes are much more likely in the weeks following the end of DST (graph), presumably because drivers, accustomed to driving in broad daylight, must adapt to a darkened sky and dimmer roads. Because of daylight saving time, pedestrians’ well-being are put in much greater danger; in comparison, if standard time was kept year-round, drivers would be allowed to gradually familiarize themselves to darker conditions as the sunlit hours decreased incrementally. Because daylight saving time negatively impacts the health of many Americans, it should be removed from society.
",,1,A little,,
12/8/2025 11:31:59,16,11th Grade,Male,4-5,Sometimes allowed depending on the assignment,Much better,2,2,4,3,2,4,2,2,5,5,5,3,3,4,4,N/A,N/A,N/A,2,Some,,
12/8/2025 11:34:30,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little worse,2,2,2,2,2,4,2,2,4,3,4,2,2,2,2,no,no,no,2,Some,,
12/8/2025 11:35:50,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,Much better,3,4,5,3,3,4,2,1,5,5,5,5,1,1,1,"From the moment I began working with aerospace maccintcs and hands-on engineering projects, I knew I wanted to pursue a technical role that required flying and problem-solving. Through my engineering coursework and experience working around aircraft, I have developed strong skills in following detailed procedures, using tools accurately, and staying disciplined about safety protocols. These experiences have shown me how important reliable avionics systems are to aircraft performance. I am excited about this position because it would allow me to apply these skills directly to building, maintaining, and troubleshooting advanced flight systems.
        Air Aviation LLC’s work in electric aviation and next-generation air mobility strongly aligns with my long-term goals in the aerospace field. I admire the company’s commitment to innovation and sustainable flight, and I am motivated by the opportunity to contribute to groundbreaking aircraft technology. The hands-on responsibilities described—such as supporting flight test operations, maintaining fly-by-wire systems, and helping develop maintenance procedures. I bring strong communication skills, a collaborative mindset, and reliability in following safety and documentation standards. I am confident that my skills and intrentes in aviation, along with my ability to learn quickly would allow me to add value to the Flight Test Maintenance team","A larger community can invoke changes in lives that can benefit countries and large cities. During the French Revolution, the poor working class, low wages, and heavy taxes left the third estate (which held the largest population in France) living in poverty, barely affording food on the table. Where the first and second party lived life to the fullest. Each party was given one vote, and due to the first and second party having two votes over the third party was the primarily taxed party. This led to the third party protesting and starting a Revolution to overthrow France’s monarchy. When a large group of people is oppressed, they stand together to make life fairer. These large knit communities can make great changes due to the community's strength and morals. Which reinforces that the community voice can speak louder and the truth behind their actions for the greater good.
Even with big communities with good morals in mind, there can be unforeseen consequences that can be worse than the original problem. During the time of prohibition in the USA, all alcoholic beverages were banned, which, to that point in time, had been a staple of economics and everyday life. While a larger community of women banded together to stop alcohol, it only led to problems after the law was passed. Moonshine became more popular, and many mistakenly died from the poorly made home alcohol. Due to alcohol being so essential in the USA, gangs and people like Alcoapon gained power in larger cities like Chicago. Crime and corruption in the government skyrocketed with cops accepting bribes of alcohol, and many people going to illegal bars to drink. This illustrates why, even with good intentions, groups of people can still harm the community. The community stresses the importance of truth and goodness, but causes problems later on that tends to be more harmful to the community in the long run.
With tight knit committees, the minority of people can be left with an unfavorable basis and stereotypes due to the committee's ideologies of truth. In the book To Kill a Mockingbird, it clearly conveys a powerful community that has a negative message. When a black man is put on trial for a crime he physically could not commit, the community turns on him due to the fact of the color of his skin. The committee draws a parallel to the real-world injustices faced with committees not giving the truth or the best outcome. Though there might be signal voices that give truth, the larger group of people has the power to shut down the truth.
","I ask to proof read and look for a more perfeail (this is why I use ai :,) ) voacb and sometimes for brainstorming.",1,Some,,
12/8/2025 11:43:53,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,2,2,4,3,1,5,2,1,5,3,5,2,4,4,4,NA,NA,NA,1,Quite a bit,,
12/8/2025 12:07:53,16,11th Grade,Female,0-1,Mostly allowed,A little better,4,2,4,2,2,4,3,3,4,3,4,2,4,2,3,,,,1,Some,,
12/8/2025 12:43:14,17,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little worse,1,1,3,1,1,2,1,1,4,1,5,1,5,5,1,,,,1,A little,,
12/8/2025 12:43:55,16,11th Grade,Female,2-3,Completely not tolerated,About the same,1,1,1,1,1,4,1,1,1,1,5,1,1,1,1,,,,1,Some,,
12/8/2025 12:44:36,16,11th Grade,Female,2-3,Completely not tolerated,A little better,1,1,4,3,2,3,3,1,5,3,1,3,3,4,3,,,,1,Quite a bit,,
12/8/2025 12:44:54,16,11th Grade,Female,2-3,Completely not tolerated,Much better,2,1,1,1,1,4,1,1,5,5,5,1,4,4,1,,,,1,A lot,,
12/8/2025 12:45:03,17,11th Grade,Female,2-3,Completely not tolerated,A little better,2,2,2,2,2,4,2,1,4,3,5,2,5,5,2,,,,3,A little,,
12/8/2025 12:45:04,16,11th Grade,Female,2-3,Mostly not tolerated,Much better,1,1,2,1,1,5,1,1,5,5,5,2,5,4,1,,,,1,Quite a bit,,
12/8/2025 12:45:21,17,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,A little better,2,1,2,3,1,5,1,1,5,5,5,4,5,5,1,,,,1,Quite a bit,,
12/8/2025 12:45:26,16,11th Grade,Female,2-3,Sometimes allowed depending on the assignment,About the same,3,2,4,3,2,4,3,2,4,4,5,4,3,4,3,,,,2,Quite a bit,,
